"Reaction","Days","Subject","Group"
249.56,0,1,"group_1"
258.7047,1,1,"group_1"
250.8006,2,1,"group_1"
321.4398,3,1,"group_1"
356.8519,4,1,"group_1"
414.6901,5,1,"group_1"
382.2038,6,1,"group_1"
290.1486,7,1,"group_1"
430.5853,8,1,"group_1"
466.3535,9,1,"group_1"
222.7339,0,2,"group_1"
205.2658,1,2,"group_1"
202.9778,2,2,"group_1"
204.707,3,2,"group_1"
207.7161,4,2,"group_1"
215.9618,5,2,"group_1"
213.6303,6,2,"group_1"
217.7272,7,2,"group_1"
224.2957,8,2,"group_1"
237.3142,9,2,"group_1"
199.0539,0,3,"group_1"
194.3322,1,3,"group_1"
234.32,2,3,"group_1"
232.8416,3,3,"group_1"
229.3074,4,3,"group_1"
220.4579,5,3,"group_1"
235.4208,6,3,"group_1"
255.7511,7,3,"group_1"
261.0125,8,3,"group_1"
247.5153,9,3,"group_1"
321.5426,0,4,"group_1"
300.4002,1,4,"group_1"
283.8565,2,4,"group_1"
285.133,3,4,"group_1"
285.7973,4,4,"group_1"
297.5855,5,4,"group_1"
280.2396,6,4,"group_1"
318.2613,7,4,"group_1"
305.3495,8,4,"group_1"
354.0487,9,4,"group_1"
287.6079,0,5,"group_1"
285,1,5,"group_1"
301.8206,2,5,"group_1"
320.1153,3,5,"group_1"
316.2773,4,5,"group_1"
293.3187,5,5,"group_1"
290.075,6,5,"group_1"
334.8177,7,5,"group_1"
293.7469,8,5,"group_1"
371.5811,9,5,"group_1"
234.8606,0,6,"group_1"
242.8118,1,6,"group_1"
272.9613,2,6,"group_1"
309.7688,3,6,"group_1"
317.4629,4,6,"group_1"
309.9976,5,6,"group_1"
454.1619,6,6,"group_1"
346.8311,7,6,"group_1"
330.3003,8,6,"group_1"
253.8644,9,6,"group_1"
283.8424,0,7,"group_1"
289.555,1,7,"group_1"
276.7693,2,7,"group_1"
299.8097,3,7,"group_1"
297.171,4,7,"group_1"
338.1665,5,7,"group_1"
332.0265,6,7,"group_1"
348.8399,7,7,"group_1"
333.36,8,7,"group_1"
362.0428,9,7,"group_1"
265.4731,0,8,"group_1"
